Brand Name,Sources,Gyftr Slug(s),Maximize Slug(s),Already Whitelisted?,Matched Whitelist Entry,Guessed Official Website,Confidence,Notes
Ajio Luxe,Gyftr+Maximize,ajio;ajio-luxe,ajio;ajio-luxe,Yes,AJIO,ajio.com,Verified,Ajio Luxe is the luxury section of AJIO (luxe.ajio.com subdomain); parent brand domain confirmed.
Amazon,Gyftr+Maximize,amazon,amazon,Yes,Amazon,amazon.in,Verified,Confirmed India storefront domain.
BigBasket,Gyftr+Maximize,bigbasket,bigbasket,Yes,BigBasket,bigbasket.com,Verified,Confirmed official grocery delivery site.
Boat,Maximize,,boat,Yes,Boat,boat-lifestyle.com,Verified,Confirmed boAt's own official storefront (the domain that was previously wrongly dropped as untrusted).
Croma,Gyftr+Maximize,croma,croma,Yes,Croma,croma.com,Verified,Confirmed Tata's electronics retail chain official site.
Flipkart,Gyftr+Maximize,flipkart,flipkart,Yes,Flipkart,flipkart.com,Verified,Confirmed official India e-commerce site.
Helios,Gyftr,helios,,Yes,Helios,helioswatchstore.com,High,
LENSKART,Gyftr+Maximize,lenskart,lenskart,Yes,Lenskart,lenskart.com,Verified,Confirmed official eyewear retailer site.
Myntra,Gyftr+Maximize,myntra,myntra,Yes,Myntra,myntra.com,Verified,Confirmed official fashion e-commerce site.
Nykaa,Gyftr+Maximize,nykaa;nykaa-fashion,nykaa;nykaa-fashion,Yes,Nykaa,nykaa.com,Verified,Confirmed official beauty e-commerce site.
Pepperfry,Maximize,,pepperfry,Yes,Pepperfry,pepperfry.com,Verified,Confirmed official furniture e-commerce site.
Reliance Digital,Gyftr+Maximize,reliance-digital,reliance-digital,Yes,Reliance Digital,reliancedigital.in,High,
TATA CLiQ,Gyftr+Maximize,tata-cliq;tata-cliq-luxury,tata-cliq;tata-cliq-fashion;tata-cliq-luxury,Yes,Tata CLiQ,tatacliq.com,Verified,Confirmed official Tata e-commerce site.
Vijay Sales,Gyftr+Maximize,vijay-sales,vijay-sales,Yes,Vijay Sales,vijaysales.com,High,
Abraham & Thakore- Luxe Gift Card,Gyftr,abraham-and-thakore,,No,,abrahamandthakore.com,Medium,
Absolute Barbecues,Maximize,,absolute-barbecues,No,,absolutebarbecues.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Absolute Barbeque,Gyftr,absolute-barbeque,,No,,absolutebarbeque.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Adani Meet and Greet,Gyftr,adani-meet-and-greet,,No,,adanione.com,Verified,GyFTR voucher is redeemed via Adanione.com Pranaam Services for airport meet-and-greet packages; that's Adani's official redemption portal.
Adidas Kids-Luxe Gift Card,Gyftr,adidas-kids-luxe-gift-card,,No,,adidas.co.in,Medium,
Adventra,Gyftr,adventra,,No,,adventrasports.com,Verified,"Confirmed Indian outdoor/adventure gear brand's official store, distinct from the generic guess adventra.in."
Air India,Gyftr+Maximize,air-india,air-india,No,,airindia.com,Verified,Confirmed official airline booking site.
Air India Add-ons,Gyftr,air-india-add-ons,,No,,airindia.com,Medium,
Air India Domestic Gift Card,Gyftr,air-india-domestic-gift-card,,No,,airindia.com,Verified,"Air India gift cards are issued/redeemed via giftcards.airindia.com, a subdomain of the official airindia.com; not applicable to Air India Express flights specifically."
Air India Fly Rajasthan,Gyftr,air-india-fly-rajasthan,,No,,airindia.com,Medium,
Airtel Xstream,Gyftr,airtel-xstream,,No,,airtelxstream.in,Verified,"Confirmed official OTT bundling platform site (airtelxstream.in), distinct from parent airtel.in."
ALDO,Gyftr+Maximize,aldo,aldo,No,,aldoshoes.com,Medium,
Aliste,Gyftr+Maximize,aliste,aliste,No,,alistetechnologies.com,Verified,"Confirmed Noida-based smart home automation company's official site, corrects guess of aliste.in."
Allen Solly Gift Voucher,Gyftr+Maximize,allen-solly-gift-voucher,allen-solly,No,,allensolly.abfrl.in,Medium,
Amazon Fresh,Gyftr,amazon-fresh,,No,,amazon.in,Verified,"Amazon Fresh is a grocery service within amazon.in, no separate domain."
Amazon Prime Membership,Gyftr,amazon-prime-membership,,No,,amazon.in,Verified,Prime membership is purchased/managed via amazon.in.
Amazon Prime Voucher - 3 months Membership,Maximize,,amazon-prime-voucher-3-months-membership,No,,amazon.in,Verified,"Same Amazon Prime product, redeemed on amazon.in."
Amazon Shopping Voucher,Gyftr,amazon-shopping-voucher,,No,,amazon.in,Verified,Generic Amazon shopping voucher redeemed on amazon.in.
American Eagle Gift Voucher,Gyftr+Maximize,american-eagle-gift-voucher,american-eagle,No,,ae.com,Medium,
American Tourister,Gyftr+Maximize,american-tourister,american-tourister,No,,americantourister.in,Medium,
APOLLO DIAGNOSTICS,Gyftr+Maximize,apollo-diagnostics,apollo-diagnostics,No,,apollodiagnostics.in,Verified,Confirmed official diagnostics/pathology lab site of Apollo Health & Lifestyle Ltd.
Apollo Pharmacy,Gyftr,apollo-pharmacy,,No,,apollopharmacy.in,Verified,Confirmed official online pharmacy site.
App Store Code,Gyftr,app-store-code,,No,,apple.com,Verified,"Redeemed via Apple's App Store app / Apple Account; official brand is Apple, apple.com."
Apparel Group,Gyftr,apparel-group,,No,,apparelgroup.com,Medium,
AppyHigh Prime,Maximize,,appyhigh-prime,No,,appyhigh.com,Verified,Confirmed official site for the AI app bundle subscription service.
Archies Gallery,Gyftr+Maximize,archies-gallery,archies-gallery,No,,archiesonline.com,Verified,Confirmed official gifting/greeting-card retailer site (Archies Limited).
Armani Exchange-Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-armani-exchange,armani-exchange-luxe,No,,armaniexchange.in,Verified,"Confirmed India-specific storefront for Armani Exchange, distinct from global armaniexchange.com."
Asia Seven Express,Maximize,,asia-seven-express,No,,,N/A,Could not confidently identify — please research directly
Assembly,Gyftr+Maximize,assembly,assembly,No,,assemblytravel.com,Verified,"Corrected: the Indian premium luggage/travel-gear brand 'Assembly' is at assemblytravel.com, NOT assemblylabel.com which is an unrelated Australian clothing brand."
Aurelia,Gyftr+Maximize,aurelia,aurelia,No,,aurelia.in,Medium,
Auric,Gyftr+Maximize,auric,auric,No,,theauric.com,Verified,"Confirmed Delhi-based Ayurveda beverage brand's official site, corrects guess of auric.co.in."
BAGLINE,Maximize,,bagline,No,,bagline.com,Verified,"Confirmed official multi-brand travel gear/accessories retailer site, corrects guess of bagline.in."
Bakingo,Gyftr+Maximize,bakingo,bakingo,No,,bakingo.com,Verified,Confirmed official online bakery/cake delivery site.
Bally-Luxe Gift Card,Gyftr,bally-luxe-gift-card,,No,,bally.com,Medium,
Barbeque Nation,Gyftr+Maximize,barbeque-nation,barbeque-nation,No,,barbequenation.com,Medium,
Barbeque Nation Value Voucher,Gyftr,barbeque-nation-value-voucher,,No,,barbequenation.com,Medium,
Baskin Robbins,Gyftr+Maximize,baskin-robbins,baskin-robbins,No,,baskinrobbins.in,Medium,
Bata,Gyftr+Maximize,bata,bata,No,,bata.in,Medium,
Bath & Body Works,Gyftr,bath-&-body-works,,No,,bathandbodyworks.in,Medium,
Bath and Body Works,Maximize,,bath-and-body-works,No,,bathandbodyworks.in,Medium,
Beer Cafe,Gyftr,beer-cafe,,No,,beercafe.in,Medium,
Behrouz Biryani,Gyftr+Maximize,behrouz-biryani,behrouz-biryani,No,,behrouzbiryani.com,Verified,Confirmed official biryani delivery brand site (owned by Rebel Foods).
Beverly Hills Polo Club,Gyftr+Maximize,beverly-hills-polo-club,beverly-hills-polo-club,No,,bhpoloclub.com,Medium,
Beyoung,Gyftr+Maximize,beyoung,beyoung,No,,beyoung.in,Verified,"Corrected: official site is beyoung.in (India-based D2C fashion brand from Udaipur), not beyoung.com."
BGMI,Maximize,,bgmi,No,,battlegroundsmobileindia.com,Verified,Confirmed official Krafton game site for Battlegrounds Mobile India.
BGMI UC Official Voucher,Gyftr,bgmi-uc-official-voucher,,No,,battlegroundsmobileindia.com,Verified,Same underlying brand/game as BGMI; official UC top-ups are accessed through the official BGMI site/app (which routes to Codashop as payment partner).
Bhima Jewellers - Coin,Maximize,,bhima-jewellers-coin,No,,bhimagold.com,Medium,
Bhima Jewellery,Maximize,,bhima-jewellery,No,,bhimagold.com,Medium,
BIBA,Gyftr,biba,,No,,biba.in,Verified,Confirmed official Indian ethnic-wear brand site.
Bikanervala,Maximize,,bikanervala,No,,bikanervala.com,Medium,
Birkenstock,Maximize,,birkenstock,No,,birkenstock.in,Verified,"Corrected to India-specific storefront birkenstock.in (official site explicitly warns customers to check they're on this domain to avoid frauds), distinct from global birkenstock.com."
Blaupunkt,Maximize,,blaupunkt,No,,blaupunkt.com,Verified,Confirmed global site with dedicated India section (c_ind); India also has sub-sites blaupunktcar.in and blaupunktaudio.in for specific product lines.
Blinkit Gift Card,Gyftr+Maximize,blinkit-gift-card,blinkit,No,,blinkit.com,Verified,Confirmed official quick-commerce grocery delivery site.
Blissclub,Gyftr+Maximize,blissclub,blissclub,No,,blissclub.com,Verified,Confirmed official Bengaluru-based activewear brand site.
Blue Tokai Coffe,Maximize,,blue-tokai-coffe,No,,bluetokaicoffee.com,Medium,
